Verbal Reasoning,Quantitative Reasoning,Analytical Writing
132.0,146.0,2.5
132.0,153.0,1.5
132.0,154.0,2.0
132.0,160.0,2.5
132.0,144.0,2.5
132.0,145.0,3.0
132.0,150.0,2.0
132.0,132.0,3.0
132.0,143.0,3.0
132.0,170.0,1.5
132.0,139.0,3.0
132.0,148.0,2.0
132.0,147.0,3.0
132.0,168.0,2.0
132.0,157.0,1.5
132.0,159.0,1.5
132.0,154.0,2.0
132.0,160.0,2.0
132.0,143.0,2.5
132.0,145.0,2.5
132.0,137.0,2.5
132.0,143.0,4.5
132.0,170.0,2.0
132.0,150.0,2.5
132.0,151.0,3.5
132.0,152.0,3.5
132.0,135.0,3.0
132.0,170.0,1.5
132.0,147.0,2.5
132.0,141.0,3.0
132.0,137.0,3.0
132.0,144.0,2.5
132.0,146.0,1.5
132.0,152.0,3.0
132.0,139.0,2.5
132.0,168.0,2.0
132.0,146.0,3.0
132.0,163.0,3.0
132.0,152.0,1.5
132.0,153.0,2.5
132.0,160.0,3.0
132.0,146.0,3.0
132.0,164.0,2.0
132.0,153.0,2.5
132.0,137.0,3.0
132.0,146.0,3.5
132.0,144.0,3.0
132.0,152.0,2.0
132.0,167.0,2.5
132.0,152.0,1.5
132.0,170.0,2.0
132.0,152.0,2.0
132.0,143.0,3.5
132.0,143.0,1.0
132.0,150.0,3.5
132.0,163.0,1.5
132.0,150.0,2.5
132.0,166.0,1.5
132.0,144.0,3.0
132.0,160.0,2.5
132.0,147.0,1.0
132.0,149.0,2.0
132.0,140.0,2.0
132.0,146.0,3.0
132.0,165.0,1.5
132.0,138.0,2.5
132.0,170.0,2.5
132.0,150.0,2.0
132.0,145.0,2.5
132.0,150.0,2.0
132.0,150.0,3.0
132.0,144.0,1.5
132.0,137.0,2.0
132.0,149.0,2.0
132.0,162.0,1.5
132.0,148.0,4.5
132.0,162.0,2.0
132.0,157.0,2.0
132.0,138.0,1.0
132.0,158.0,3.0
132.0,154.0,3.0
132.0,143.0,3.0
132.0,148.0,3.0
132.0,164.0,1.5
132.0,148.0,2.5
132.0,150.0,1.0
132.0,162.0,2.5
132.0,152.0,3.5
132.0,147.0,2.0
132.0,139.0,4.0
132.0,151.0,2.0
132.0,145.0,3.0
132.0,140.0,3.5
132.0,141.0,3.0
132.0,144.0,5.0
132.0,149.0,2.0
132.0,145.0,3.5
132.0,141.0,1.5
132.0,138.0,3.0
132.0,160.0,3.5
132.0,159.0,1.0
132.0,147.0,2.5
132.0,135.0,1.5
132.0,153.0,3.5
132.0,148.0,3.0
132.0,167.0,3.5
132.0,150.0,2.0
132.0,142.0,3.5
132.0,148.0,3.0
132.0,140.0,3.0
132.0,153.0,3.0
132.0,154.0,2.0
132.0,148.0,1.0
132.0,151.0,2.5
132.0,150.0,2.5
132.0,165.0,1.0
132.0,154.0,3.5
132.0,162.0,2.5
132.0,151.0,2.5
132.0,132.0,2.0
132.0,140.0,2.5
132.0,144.0,1.5
132.0,147.0,2.0
132.0,144.0,2.5
132.0,170.0,1.0
132.0,150.0,3.5
132.0,154.0,3.0
132.0,135.0,2.5
132.0,152.0,2.5
132.0,154.0,1.0
132.0,152.0,1.5
132.0,153.0,1.5
132.0,162.0,2.5
132.0,157.0,3.0
132.0,142.0,2.0
132.0,152.0,2.5
132.0,161.0,2.5
132.0,146.0,1.5
132.0,145.0,2.0
132.0,152.0,2.5
132.0,158.0,2.5
132.0,147.0,2.0
132.0,146.0,2.0
132.0,143.0,2.5
132.0,160.0,2.0
132.0,164.0,1.0
132.0,143.0,4.5
132.0,152.0,2.5
132.0,158.0,2.5
132.0,147.0,1.0
132.0,144.0,1.5
132.0,141.0,3.0
132.0,158.0,2.5
132.0,150.0,1.0
132.0,139.0,3.0
132.0,152.0,1.5
132.0,146.0,2.5
132.0,139.0,1.5
132.0,135.0,3.0
132.0,153.0,4.0
132.0,141.0,1.0
132.0,167.0,2.5
132.0,155.0,2.5
132.0,156.0,2.0
132.0,147.0,3.0
132.0,148.0,5.0
132.0,170.0,1.0
132.0,154.0,3.0
132.0,154.0,2.5
132.0,156.0,1.5
132.0,141.0,4.0
132.0,162.0,1.5
132.0,147.0,2.0
132.0,144.0,1.0
132.0,157.0,4.0
132.0,162.0,1.0
132.0,164.0,1.5
132.0,140.0,4.0
132.0,139.0,3.0
132.0,165.0,3.0
132.0,144.0,3.5
132.0,166.0,1.5
132.0,138.0,3.5
132.0,139.0,1.5
132.0,140.0,2.0
132.0,149.0,1.5
132.0,161.0,2.0
132.0,147.0,2.5
132.0,154.0,2.0
132.0,165.0,1.5
132.0,168.0,2.5
132.0,139.0,3.0
132.0,147.0,3.0
132.0,139.0,2.0
132.0,154.0,2.5
132.0,141.0,2.5
132.0,154.0,3.0
132.0,156.0,3.0
132.0,144.0,3.0
132.0,163.0,1.5
132.0,144.0,1.0
132.0,148.0,2.0
132.0,152.0,1.5
132.0,150.0,2.5
132.0,138.0,3.0
132.0,159.0,3.0
132.0,156.0,2.5
132.0,168.0,2.0
132.0,159.0,2.0
132.0,145.0,2.5
132.0,162.0,2.5
132.0,139.0,3.0
132.0,151.0,1.0
132.0,146.0,1.5
132.0,161.0,5.5
132.0,135.0,2.5
132.0,148.0,3.0
132.0,164.0,3.0
132.0,149.0,1.5
132.0,170.0,1.0
132.0,164.0,3.0
132.0,169.0,2.0
132.0,165.0,3.0
132.0,169.0,3.0
132.0,150.0,3.0
132.0,149.0,3.0
132.0,145.0,2.0
132.0,149.0,3.0
132.0,145.0,3.0
132.0,141.0,2.5
132.0,138.0,3.5
132.0,146.0,3.0
132.0,151.0,2.5
132.0,154.0,1.5
132.0,167.0,1.5
132.0,139.0,2.5
132.0,147.0,4.0
132.0,139.0,1.5
132.0,160.0,1.0
132.0,167.0,2.5
132.0,163.0,1.5
132.0,165.0,1.5
132.0,143.0,2.5
132.0,156.0,3.0
132.0,154.0,2.5
132.0,143.0,4.0
132.0,158.0,3.0
132.0,144.0,4.5
132.0,150.0,3.5
132.0,151.0,2.0
132.0,142.0,2.5
132.0,161.0,2.5
132.0,150.0,2.0
132.0,141.0,1.5
132.0,158.0,3.0
132.0,143.0,1.5
132.0,144.0,3.0
132.0,147.0,3.0
132.0,139.0,4.0
132.0,141.0,2.0
132.0,166.0,2.5
132.0,164.0,2.0
132.0,169.0,2.5
132.0,144.0,1.5
132.0,146.0,4.0
132.0,145.0,4.0
132.0,141.0,2.5
132.0,140.0,2.5
132.0,170.0,1.5
132.0,145.0,3.0
132.0,151.0,3.0
132.0,159.0,4.0
132.0,132.0,3.0
132.0,146.0,3.5
132.0,142.0,2.5
132.0,153.0,1.0
132.0,151.0,3.0
132.0,141.0,3.0
132.0,168.0,3.0
132.0,168.0,1.5
132.0,167.0,2.5
132.0,155.0,2.0
132.0,139.0,2.0
132.0,147.0,3.0
132.0,155.0,4.0
132.0,139.0,3.0
132.0,170.0,3.0
132.0,148.0,2.5
132.0,170.0,2.0
132.0,143.0,3.0
132.0,132.0,2.0
132.0,158.0,3.0
132.0,149.0,1.5
132.0,143.0,3.5
132.0,165.0,1.5
132.0,167.0,2.0
132.0,146.0,4.0
132.0,137.0,3.0
132.0,146.0,2.5
132.0,144.0,2.5
132.0,170.0,2.0
132.0,150.0,3.0
132.0,141.0,4.0
132.0,143.0,2.5
132.0,152.0,2.0
132.0,149.0,4.5
132.0,150.0,2.0
132.0,156.0,1.5
132.0,143.0,4.0
132.0,146.0,2.5
132.0,148.0,2.0
132.0,140.0,2.0
132.0,147.0,4.0
132.0,147.0,3.0
132.0,143.0,3.5
132.0,165.0,2.0
132.0,141.0,2.0
132.0,132.0,3.0
132.0,168.0,2.0
132.0,151.0,5.0
132.0,150.0,3.0
132.0,149.0,1.0
132.0,161.0,2.0
132.0,160.0,1.5
132.0,137.0,3.0
132.0,145.0,3.0
132.0,160.0,1.5
132.0,146.0,2.5
132.0,154.0,3.0
132.0,146.0,3.0
132.0,158.0,2.0
132.0,139.0,3.0
132.0,147.0,1.5
132.0,150.0,2.0
132.0,137.0,2.5
132.0,156.0,2.0
132.0,147.0,3.0
132.0,165.0,3.5
132.0,149.0,2.0
132.0,149.0,1.0
132.0,152.0,2.0
132.0,159.0,1.5
132.0,152.0,1.5
132.0,158.0,3.0
132.0,146.0,3.5
132.0,147.0,3.0
132.0,148.0,1.5
132.0,152.0,2.5
132.0,165.0,2.0
132.0,162.0,3.0
132.0,159.0,2.5
132.0,145.0,3.0
132.0,153.0,3.0
132.0,145.0,1.5
132.0,138.0,4.0
132.0,147.0,3.0
132.0,147.0,3.0
132.0,143.0,1.5
132.0,167.0,2.5
132.0,157.0,1.0
132.0,154.0,2.0
132.0,132.0,1.0
132.0,162.0,2.5
132.0,165.0,2.0
132.0,153.0,2.0
132.0,141.0,2.0
132.0,153.0,2.0
132.0,149.0,2.0
132.0,149.0,3.0
132.0,148.0,1.0
132.0,138.0,2.5
132.0,152.0,2.0
132.0,132.0,3.0
132.0,160.0,2.5
132.0,157.0,4.0
132.0,154.0,3.0
132.0,154.0,3.0
132.0,147.0,4.0
132.0,141.0,2.5
132.0,142.0,1.5
132.0,159.0,2.5
132.0,149.0,3.0
132.0,153.0,2.0
132.0,139.0,3.0
132.0,143.0,1.5
132.0,153.0,2.5
132.0,156.0,3.5
132.0,159.0,3.5
132.0,138.0,4.0
132.0,141.0,2.0
132.0,150.0,3.0
132.0,147.0,2.0
132.0,170.0,1.5
132.0,147.0,1.5
132.0,167.0,2.0
132.0,163.0,3.0
132.0,155.0,2.0
132.0,138.0,3.5
132.0,139.0,3.0
132.0,138.0,2.5
132.0,146.0,1.5
132.0,159.0,4.0
132.0,140.0,1.0
132.0,132.0,3.5
132.0,166.0,2.0
132.0,156.0,2.5
132.0,161.0,2.0
132.0,150.0,2.0
132.0,135.0,2.0
132.0,146.0,3.0
132.0,154.0,2.0
132.0,170.0,1.5
132.0,138.0,2.5
132.0,165.0,2.0
132.0,143.0,3.5
132.0,155.0,2.0
132.0,149.0,3.0
132.0,159.0,2.0
132.0,137.0,3.0
132.0,141.0,1.5
132.0,151.0,4.0
132.0,148.0,1.5
132.0,149.0,2.0
132.0,157.0,2.5
132.0,147.0,4.0
132.0,141.0,3.0
132.0,159.0,1.5
132.0,157.0,1.5
132.0,152.0,4.0
132.0,141.0,2.0
132.0,156.0,2.5
132.0,142.0,3.0
132.0,144.0,1.5
132.0,151.0,2.0
132.0,132.0,2.5
132.0,168.0,2.0
132.0,156.0,3.0
132.0,154.0,1.0
132.0,141.0,3.0
132.0,169.0,2.0
132.0,159.0,3.0
132.0,146.0,2.0
132.0,154.0,2.0
132.0,147.0,1.0
132.0,150.0,1.0
132.0,160.0,2.5
132.0,138.0,2.0
132.0,145.0,2.0
132.0,135.0,3.0
132.0,162.0,2.0
132.0,148.0,3.0
132.0,152.0,2.5
132.0,150.0,2.5
134.0,151.0,3.5
134.0,140.0,4.0
134.0,144.0,3.0
134.0,150.0,2.0
134.0,160.0,2.5
134.0,135.0,3.0
134.0,135.0,1.5
134.0,145.0,2.5
134.0,162.0,2.0
134.0,164.0,3.0
134.0,135.0,2.0
134.0,146.0,2.0
134.0,137.0,2.5
134.0,157.0,2.5
134.0,144.0,3.5
134.0,142.0,3.0
134.0,148.0,3.0
134.0,135.0,2.5
134.0,149.0,3.0
134.0,154.0,1.0
134.0,138.0,3.5
134.0,147.0,2.0
134.0,148.0,3.0
134.0,148.0,3.0
134.0,163.0,3.0
134.0,170.0,1.5
134.0,154.0,2.5
134.0,144.0,1.0
134.0,169.0,2.5
134.0,153.0,3.0
134.0,150.0,2.5
134.0,141.0,2.0
134.0,156.0,2.5
134.0,135.0,2.0
134.0,170.0,2.0
134.0,141.0,4.5
134.0,146.0,3.0
134.0,158.0,1.0
134.0,144.0,3.0
134.0,153.0,3.5
134.0,152.0,1.5
134.0,151.0,1.5
134.0,149.0,3.5
134.0,140.0,2.0
134.0,161.0,1.5
134.0,146.0,1.5
134.0,159.0,2.0
134.0,157.0,2.5
134.0,149.0,3.5
134.0,149.0,1.5
134.0,135.0,1.5
134.0,140.0,2.0
134.0,141.0,3.5
134.0,149.0,3.0
134.0,139.0,3.0
134.0,167.0,2.0
134.0,160.0,3.0
134.0,138.0,2.5
134.0,151.0,3.5
134.0,160.0,2.0
134.0,144.0,1.5
134.0,150.0,2.5
134.0,155.0,1.5
134.0,150.0,2.0
134.0,158.0,2.5
134.0,160.0,2.0
134.0,143.0,2.5
134.0,164.0,2.5
134.0,141.0,3.5
134.0,144.0,1.5
134.0,139.0,3.0
134.0,166.0,2.0
134.0,144.0,2.5
134.0,153.0,4.0
134.0,132.0,3.0
134.0,144.0,1.5
134.0,152.0,3.0
134.0,140.0,2.5
134.0,140.0,3.0
134.0,169.0,3.0
134.0,140.0,3.0
134.0,147.0,3.0
134.0,138.0,2.5
134.0,169.0,2.5
134.0,135.0,2.5
134.0,154.0,2.5
134.0,154.0,2.5
134.0,159.0,2.0
134.0,139.0,2.0
134.0,151.0,2.0
134.0,132.0,2.0
134.0,162.0,1.5
134.0,146.0,3.0
134.0,150.0,2.5
134.0,162.0,2.0
134.0,151.0,2.0
134.0,143.0,3.0
134.0,132.0,3.0
134.0,143.0,2.0
134.0,138.0,3.0
134.0,146.0,2.0
134.0,154.0,2.0
134.0,159.0,2.5
134.0,165.0,2.5
134.0,157.0,2.5
134.0,158.0,4.5
134.0,165.0,2.0
134.0,145.0,2.5
134.0,148.0,2.0
134.0,149.0,3.0
134.0,170.0,2.0
134.0,157.0,3.5
134.0,135.0,1.0
134.0,150.0,3.0
134.0,167.0,3.0
134.0,157.0,1.0
134.0,159.0,2.5
134.0,138.0,3.5
134.0,149.0,3.0
134.0,153.0,3.0
134.0,152.0,4.0
134.0,168.0,2.0
134.0,151.0,1.5
134.0,139.0,2.5
134.0,167.0,1.5
134.0,144.0,1.5
134.0,158.0,3.5
134.0,155.0,3.0
134.0,154.0,1.0
134.0,157.0,3.0
134.0,143.0,1.5
134.0,137.0,2.0
134.0,158.0,1.5
134.0,152.0,1.5
134.0,149.0,4.5
134.0,158.0,2.5
134.0,157.0,3.0
134.0,138.0,3.0
134.0,145.0,3.0
134.0,135.0,3.5
134.0,139.0,2.5
134.0,138.0,1.5
134.0,142.0,1.0
134.0,155.0,3.0
134.0,152.0,2.0
